cospar_num,launch_date,mission,norad_num,object,predicted_reentry_date,reentry_type
"2023-026W
","Feb 27, 2023",Starlink Group 6-1,55715,STARLINK-30062 (ID 55715),4/3/23,Payload
"STARLINK-5216
","Oct 20, 2022",Group 4-36,54057,STARLINK-5216 (ID 54057),4/6/23,Payload
"2020-074AM
","Oct 24, 2020",L14,46774,STARLINK-1939 (ID 46774),4/16/23,Payload
"2019-074BK
","Nov 11, 2019",Starlink Launch 1,44770,STARLINK-1065 (ID 44770),4/20/23,Payload
"STARLINK-5457
","Feb 17, 2023",Group 2-5,55666,STARLINK-5457 (ID 55666),4/8/23,Payload
"2006-005A
","Feb 21, 2006",ASTRO F,28939,ASTRO F (AKARI) (ID 28939),4/11/23,Payload
"2002-004A
","Feb 05, 2002",RHESSI,27370,RHESSI (ID 27370),4/20/23,Payload
"2022-002CY
","Jan 13, 2022",USA 322,51078,USA 322 (ID 51078),4/2/23,Payload
"2020-001BB
","Jan 07, 2020",Starlink Launch 2,44963,STARLINK-1085 (ID 44963),4/4/23,Payload
"STARLINK-2216
","Mar 24, 2021",Starlink Launch 22,48012,STARLINK-2216 (ID 48012),4/7/23,Payload
"2023-020AP
","Feb 12, 2023",Starlink Group 5-4,55606,STARLINK-5723 (ID 55606),3/10/23,Payload
"2023-013AB
","Jan 26, 2023",Starlink Group 5-2,55356,STARLINK-5083 (ID 55356),3/24/23,Payload
"2021-021AG
","Mar 14, 2021",Starlink Launch 21,47890,STARLINK-2350 (ID 47890),3/11/23,Payload
"20125-064A
","Nov 18, 2012",HJ-1C,38997,HJ-1C (ID 38997),3/1/23,Payload
"2020-025G
","Apr 22, 2020",Starlink L6,45537,STARLINK-1353 (ID 45537),2/21/23,Payload
"2021-006CE
","Jan 24, 2021",Transporter-1,47489,CAPELLA-3 (WHITNEY) (ID 47489),2/26/23,Payload
"2019-074K     
","Nov 29, 2019",Starlink Launch 1,44722,STARLINK-1016 (ID 44722),2/9/23,Payload
"202-088AW
","Nov 25, 2020",Starlink L15,47166,STARLINK-1881 (ID 47166),2/28/23,Payload
"2013-064A
","Nov 20, 2013",STPSAT-3,39380,STPSAT-3 (ID 39380),3/11/23,Payload
"2021-092C
","Oct 15, 2021",Shenzhou 13,52260,SZ-13 MODULE (ID 52260),3/8/23,Payload
"2021-021N
","Mar 14, 2021",Starlink Launch 21,47872,STARLINK-2328 (ID 47872),3/14/23,Payload
"2020-070W
","Oct 06, 2020",Starlink Launch 12,46552,STARLINK-1649 (ID 46552),3/24/23,Payload
"2023-014AK
","Jan 31, 2023",Starlink 2-6,55424,STARLINK-5066 (ID 55424),2/13/23,Payload
"2021-059AL
","Jun 30, 2021",Transporter-2,48913,CAPELLA-5 (WHITNEY) (ID 48913),2/23/23,Payload
"2020-060B
","Aug 31, 2021",Photon Pathfinder/First Light,46269,CAPELLA-2  (ID 46269),2/27/23,Payload
"2018-099AK
","Dec 03, 2018",SSO-A SmallSat Express,43791,CAPELLA-1 (ID 43791),1/25/23,Payload
"2020-074AP
","Oct 24, 2020",Starlink Launch 14,46776,STARLINK-1946 (ID 46776),2/5/23,Payload
"2020-074AA
","Oct 24, 2020",Starlink Launch 14,46763,STARLINK-1902 (ID 46763),2/4/23,Payload
"1984-108B
","Oct 05, 1984",Earth Radiation Budget Satellite,15354,"ERBS (ID 15354, Reentered)",1/9/23,Payload
"2021-053C
","Jun 17, 2021",Shenzhou 12,49221,SZ-12 MODULE (ID 49221),2/8/23,Payload
"2007-001D
","Jan 01, 2007",PEHUENSAT1,29712,PEHUENSAT 1 (ID 29712),1/16/23,Payload
"1977-047A
","Jun 16, 1977",Cosmos 917,10059,COSMOS 917 (ID 10059),1/4/23,Payload
"2023-010AJ
","Jan 20, 2023",Starlink Group 2-4,55301,STARLINK-5319 (ID 55301),1/31/23,Payload
"2022-002CX
","Jan 13, 2022",USA 321,51077,USA 321 (ID 51077),4/1/23,Payload
